session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,0lb2wjbg,1,instructions,Instructions,1548350643,609,1,False
1,1,0lb2wjbg,2,practice,PracticeInfo,1548350646,3,1,False
1,1,0lb2wjbg,3,practice,PracticeGame,1548350716,70,1,False
1,1,0lb2wjbg,4,practice,PracticeGameOutcome,1548350786,70,1,False
1,1,0lb2wjbg,5,game,GameInfo,1548350789,3,1,False
1,1,0lb2wjbg,6,game,Game,1548350856,67,1,False
1,1,0lb2wjbg,8,game,Game,1548350924,68,2,False
1,1,0lb2wjbg,10,game,Game,1548350992,68,3,False
1,1,0lb2wjbg,12,game,Game,1548351059,67,4,False
1,1,0lb2wjbg,14,game,Game,1548351126,67,5,False
1,1,0lb2wjbg,16,game,Game,1548351193,67,6,False
1,1,0lb2wjbg,18,game,Game,1548351261,68,7,False
1,1,0lb2wjbg,20,game,Game,1548351328,67,8,False
1,1,0lb2wjbg,22,game,Game,1548351395,67,9,False
1,1,0lb2wjbg,24,game,Game,1548351462,67,10,False
1,1,0lb2wjbg,26,game,Game,1548351530,68,11,False
1,1,0lb2wjbg,28,game,Game,1548351598,68,12,False
1,1,0lb2wjbg,30,game,Game,1548351665,67,13,False
1,1,0lb2wjbg,32,game,Game,1548351733,68,14,False
1,1,0lb2wjbg,34,game,Game,1548351800,67,15,False
1,1,0lb2wjbg,36,game,Game,1548351867,67,16,False
1,1,0lb2wjbg,38,game,Game,1548351934,67,17,False
1,1,0lb2wjbg,40,game,Game,1548352003,69,18,False
1,1,0lb2wjbg,42,game,Game,1548352070,67,19,False
1,1,0lb2wjbg,44,game,Game,1548352140,70,20,False
1,1,0lb2wjbg,45,payoff,GameOutcome,1548352168,28,1,False
1,2,t0lbq4x3,1,instructions,Instructions,1548350619,583,1,False
1,2,t0lbq4x3,2,practice,PracticeInfo,1548350629,10,1,False
1,2,t0lbq4x3,3,practice,PracticeGame,1548350700,71,1,False
1,2,t0lbq4x3,4,practice,PracticeGameOutcome,1548350787,87,1,False
1,2,t0lbq4x3,5,game,GameInfo,1548350795,8,1,False
1,2,t0lbq4x3,6,game,Game,1548350864,69,1,False
1,2,t0lbq4x3,8,game,Game,1548350932,68,2,False
1,2,t0lbq4x3,10,game,Game,1548351000,68,3,False
1,2,t0lbq4x3,12,game,Game,1548351068,68,4,False
1,2,t0lbq4x3,14,game,Game,1548351138,70,5,False
1,2,t0lbq4x3,16,game,Game,1548351205,67,6,False
1,2,t0lbq4x3,18,game,Game,1548351274,69,7,False
1,2,t0lbq4x3,20,game,Game,1548351342,68,8,False
1,2,t0lbq4x3,22,game,Game,1548351410,68,9,False
1,2,t0lbq4x3,24,game,Game,1548351477,67,10,False
1,2,t0lbq4x3,26,game,Game,1548351544,67,11,False
1,2,t0lbq4x3,28,game,Game,1548351613,69,12,False
1,2,t0lbq4x3,30,game,Game,1548351682,69,13,False
1,2,t0lbq4x3,32,game,Game,1548351749,67,14,False
