participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,i2k63arc,LAB3,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 19:14:24.645787+00:00,1,,,1307,1,"[{""strategy"":1,""time"":15.915}]",1,16,0,1,1,u5a83rs1,,,,,,0
2,e7vef4ct,LAB2,0,46,45,payoff,GameOutcome,10.7.217.98,2019-01-24 19:14:25.952334+00:00,1,,,2206,2,"[{""strategy"":1,""time"":1.001},{""strategy"":2,""time"":19.776},{""strategy"":1,""time"":20.257},{""strategy"":2,""time"":22.352},{""strategy"":1,""time"":26.056},{""strategy"":2,""time"":29.88},{""strategy"":1,""time"":30.28},{""strategy"":2,""time"":34.232},{""strategy"":1,""time"":34.522},{""strategy"":2,""time"":42.36},{""strategy"":1,""time"":42.655},{""strategy"":2,""time"":45.887},{""strategy"":1,""time"":46.746},{""strategy"":2,""time"":47.648},{""strategy"":1,""time"":48.186},{""strategy"":2,""time"":48.928},{""strategy"":1,""time"":49.504}]",1,43,800,1,1,u5a83rs1,,,,,,0
3,arsuawn4,LAB1,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:33.522271+00:00,1,,,907,3,"[{""strategy"":1,""time"":2.805},{""strategy"":2,""time"":9.684},{""strategy"":1,""time"":17.189},{""strategy"":2,""time"":27.949},{""strategy"":1,""time"":37.692},{""strategy"":2,""time"":48.447},{""strategy"":1,""time"":56.276}]",1,43,0,1,1,u5a83rs1,,,,,,0
4,dzvoom61,LAB10,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:28.455808+00:00,1,,,2007,4,"[{""strategy"":1,""time"":5.943}]",1,21,0,1,1,u5a83rs1,,,,,,0
5,o7opjixh,LAB4,0,46,45,payoff,GameOutcome,10.30.85.49,2019-01-24 19:14:32.543879+00:00,1,,,1307,5,"[{""strategy"":1,""time"":4.872}]",1,56,0,1,1,u5a83rs1,,,,,,0
6,3tzs1326,LAB5,0,46,45,payoff,GameOutcome,10.47.177.9,2019-01-24 19:14:33.744233+00:00,1,,,2107,6,"[{""strategy"":1,""time"":0.728},{""strategy"":2,""time"":9.045},{""strategy"":1,""time"":23.372},{""strategy"":2,""time"":49.057},{""strategy"":1,""time"":49.764}]",1,7,0,1,1,u5a83rs1,,,,,,0
7,yucx76nj,LAB8,0,46,45,payoff,GameOutcome,10.51.203.60,2019-01-24 19:14:29.560214+00:00,1,,,1806,7,"[{""strategy"":1,""time"":0.719}]",1,54,800,1,1,u5a83rs1,,,,,,0
8,a9caswms,LAB6,0,46,45,payoff,GameOutcome,10.145.91.102,2019-01-24 19:14:33.749936+00:00,1,,,1906,8,"[{""strategy"":1,""time"":2.922},{""strategy"":2,""time"":7.383},{""strategy"":1,""time"":8.354},{""strategy"":2,""time"":8.94},{""strategy"":1,""time"":9.574},{""strategy"":2,""time"":10.009},{""strategy"":1,""time"":11.186},{""strategy"":2,""time"":11.705},{""strategy"":1,""time"":17.457},{""strategy"":2,""time"":25.813},{""strategy"":1,""time"":29.48}]",1,34,0,1,1,u5a83rs1,,,,,,0
9,towf6ijh,LAB12,0,46,45,payoff,GameOutcome,10.147.13.174,2019-01-24 19:14:34.314022+00:00,1,,,1607,9,"[{""strategy"":1,""time"":1.743}]",1,49,0,1,1,u5a83rs1,,,,,,0
10,v75dqmax,LAB13,0,46,45,payoff,GameOutcome,10.51.250.60,2019-01-24 19:14:32.576392+00:00,1,,,2007,10,"[{""strategy"":1,""time"":0.774}]",1,35,0,1,1,u5a83rs1,,,,,,0
11,j7yvqfnk,LAB9,0,46,45,payoff,GameOutcome,10.33.189.124,2019-01-24 19:14:36.352740+00:00,1,,,2200,11,"[{""strategy"":1,""time"":1.325}]",1,57,0,1,1,u5a83rs1,,,,,,0
12,h3nu4vm6,LAB14,0,46,45,payoff,GameOutcome,10.16.198.175,2019-01-24 19:14:35.894569+00:00,1,,,1800,12,"[{""strategy"":1,""time"":0.483}]",1,31,0,1,1,u5a83rs1,,,,,,0
13,960qiq0v,LAB15,0,46,45,payoff,GameOutcome,10.149.119.251,2019-01-24 19:14:34.423000+00:00,1,,,1907,13,"[{""strategy"":1,""time"":0.716}]",1,52,0,1,1,u5a83rs1,,,,,,0
14,kv9veiwp,LAB7,0,46,45,payoff,GameOutcome,10.145.91.102,2019-01-24 19:14:37.755345+00:00,1,,,1606,14,"[{""strategy"":2,""time"":2.273},{""strategy"":1,""time"":11.519}]",2,11,0,1,1,u5a83rs1,,,,,,0
15,40uoe7hc,LAB16,0,46,45,payoff,GameOutcome,10.47.229.186,2019-01-24 19:14:35.226242+00:00,1,,,1207,15,"[{""strategy"":1,""time"":8.817}]",1,23,0,1,1,u5a83rs1,,,,,,0
16,a7q3hufe,LAB17,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:38.945970+00:00,1,,,1306,16,"[{""strategy"":2,""time"":2.967},{""strategy"":1,""time"":10.141}]",1,43,800,1,1,u5a83rs1,,,,,,0
17,fo0lbree,LAB18,0,46,45,payoff,GameOutcome,10.35.211.221,2019-01-24 19:14:39.482803+00:00,1,,,2806,17,"[{""strategy"":1,""time"":1.351}]",1,28,800,1,1,u5a83rs1,,,,,,0
18,veies0ax,LAB20,0,46,45,payoff,GameOutcome,10.29.86.227,2019-01-24 19:14:40.501945+00:00,1,,,1807,18,"[{""strategy"":1,""time"":0.485}]",1,58,0,1,1,u5a83rs1,,,,,,0
19,6twian0l,LAB19,0,46,45,payoff,GameOutcome,10.123.135.185,2019-01-24 19:14:42.211719+00:00,1,,,606,19,"[{""strategy"":1,""time"":4.386}]",1,12,0,1,1,u5a83rs1,,,,,,0
20,ezvwttsg,LAB21,0,46,45,payoff,GameOutcome,10.63.159.3,2019-01-24 19:14:45.073425+00:00,1,,,2006,20,"[{""strategy"":1,""time"":5.182}]",1,10,0,1,1,u5a83rs1,,,,,,0
21,wfotk6bs,LAB22,0,46,45,payoff,GameOutcome,10.65.212.112,2019-01-24 19:14:55.919089+00:00,1,,,2507,21,"[{""strategy"":1,""time"":0.447}]",1,21,0,1,1,u5a83rs1,,,,,,0
1,i2k63arc,LAB3,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 19:14:24.645787+00:00,1,,,1307,1,"[{""strategy"":1,""time"":13.552},{""strategy"":2,""time"":36.359},{""strategy"":1,""time"":55.031}]",0,11,0,1,2,u5a83rs1,,,,,,0
2,e7vef4ct,LAB2,0,46,45,payoff,GameOutcome,10.7.217.98,2019-01-24 19:14:25.952334+00:00,1,,,2206,2,"[{""strategy"":1,""time"":1.318},{""strategy"":2,""time"":4.765},{""strategy"":1,""time"":5.213},{""strategy"":2,""time"":7.485},{""strategy"":1,""time"":9.838},{""strategy"":2,""time"":12.869},{""strategy"":1,""time"":15.679},{""strategy"":2,""time"":18.11},{""strategy"":1,""time"":20.709},{""strategy"":2,""time"":23.461},{""strategy"":1,""time"":25.333},{""strategy"":2,""time"":27.581},{""strategy"":1,""time"":29.437},{""strategy"":2,""time"":32.053},{""strategy"":1,""time"":33.445},{""strategy"":2,""time"":35.308},{""strategy"":1,""time"":36.653},{""strategy"":2,""time"":37.621},{""strategy"":1,""time"":38.748},{""strategy"":2,""time"":39.556},{""strategy"":1,""time"":40.628},{""strategy"":2,""time"":41.565},{""strategy"":1,""time"":42.589},{""strategy"":2,""time"":43.564},{""strategy"":1,""time"":44.589},{""strategy"":2,""time"":45.676},{""strategy"":1,""time"":46.717},{""strategy"":2,""time"":47.636},{""strategy"":1,""time"":48.812},{""strategy"":2,""time"":49.829},{""strategy"":1,""time"":50.676},{""strategy"":2,""time"":51.532},{""strategy"":1,""time"":52.452},{""strategy"":2,""time"":53.356},{""strategy"":1,""time"":54.26},{""strategy"":2,""time"":54.972},{""strategy"":1,""time"":55.702},{""strategy"":2,""time"":56.412},{""strategy"":1,""time"":57.124},{""strategy"":2,""time"":57.753},{""strategy"":1,""time"":58.452},{""strategy"":2,""time"":59.052},{""strategy"":1,""time"":59.644},{""strategy"":2,""time"":60.252},{""strategy"":1,""time"":60.924},{""strategy"":2,""time"":61.548},{""strategy"":1,""time"":62.18},{""strategy"":2,""time"":62.86},{""strategy"":1,""time"":63.613},{""strategy"":2,""time"":64.212},{""strategy"":1,""time"":64.908}]",1,39,0,1,2,u5a83rs1,,,,,,0
3,arsuawn4,LAB1,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:33.522271+00:00,1,,,907,3,"[{""strategy"":1,""time"":2.047},{""strategy"":2,""time"":8.77},{""strategy"":1,""time"":26.165},{""strategy"":2,""time"":38.974},{""strategy"":1,""time"":50.549},{""strategy"":2,""time"":58.997}]",2,14,0,1,2,u5a83rs1,,,,,,0
4,dzvoom61,LAB10,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:28.455808+00:00,1,,,2007,4,"[{""strategy"":1,""time"":1.417},{""strategy"":2,""time"":11.001}]",2,12,500,1,2,u5a83rs1,,,,,,0
