participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,i2k63arc,LAB3,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 19:14:24.645787+00:00,1,,,1307,1,"[{""strategy"":1,""time"":28.995},{""strategy"":2,""time"":46.09}]",1,37,7,1,1,u5a83rs1,,,,,,0
2,e7vef4ct,LAB2,0,46,45,payoff,GameOutcome,10.7.217.98,2019-01-24 19:14:25.952334+00:00,1,,,2206,2,"[{""strategy"":2,""time"":2.678},{""strategy"":1,""time"":9.353},{""strategy"":2,""time"":11.014},{""strategy"":1,""time"":11.526},{""strategy"":2,""time"":12.47},{""strategy"":1,""time"":13.183},{""strategy"":2,""time"":13.894},{""strategy"":1,""time"":14.505},{""strategy"":2,""time"":15.198},{""strategy"":1,""time"":15.655},{""strategy"":2,""time"":16.238},{""strategy"":1,""time"":16.79},{""strategy"":2,""time"":17.422},{""strategy"":1,""time"":18.032},{""strategy"":2,""time"":18.615},{""strategy"":1,""time"":19.183},{""strategy"":2,""time"":19.966},{""strategy"":1,""time"":20.661},{""strategy"":2,""time"":21.237},{""strategy"":1,""time"":21.861},{""strategy"":2,""time"":22.478},{""strategy"":1,""time"":23.109},{""strategy"":2,""time"":23.743},{""strategy"":1,""time"":24.542},{""strategy"":2,""time"":25.493},{""strategy"":1,""time"":25.95},{""strategy"":2,""time"":26.565},{""strategy"":1,""time"":26.965},{""strategy"":2,""time"":27.494},{""strategy"":1,""time"":27.91},{""strategy"":2,""time"":28.374},{""strategy"":1,""time"":28.854},{""strategy"":2,""time"":29.35},{""strategy"":1,""time"":30.239},{""strategy"":2,""time"":35.286},{""strategy"":1,""time"":36.605},{""strategy"":2,""time"":38.069},{""strategy"":1,""time"":38.671},{""strategy"":2,""time"":41.381},{""strategy"":1,""time"":41.878},{""strategy"":2,""time"":45.157},{""strategy"":1,""time"":45.597},{""strategy"":2,""time"":53.302},{""strategy"":1,""time"":53.646},{""strategy"":2,""time"":54.68},{""strategy"":1,""time"":54.981},{""strategy"":2,""time"":56.151},{""strategy"":1,""time"":56.429},{""strategy"":2,""time"":58.094},{""strategy"":1,""time"":58.373},{""strategy"":2,""time"":60.205},{""strategy"":1,""time"":60.54},{""strategy"":2,""time"":62.069},{""strategy"":1,""time"":62.34}]",2,20,6,1,1,u5a83rs1,,,,,,0
3,arsuawn4,LAB1,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:33.522271+00:00,1,,,907,3,"[{""strategy"":1,""time"":5.519},{""strategy"":2,""time"":13.007},{""strategy"":1,""time"":29.591},{""strategy"":2,""time"":55.505},{""strategy"":1,""time"":56.007}]",1,43,7,1,1,u5a83rs1,,,,,,0
4,dzvoom61,LAB10,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:28.455808+00:00,1,,,2007,4,"[{""strategy"":1,""time"":8.287}]",1,20,7,1,1,u5a83rs1,,,,,,0
5,o7opjixh,LAB4,0,46,45,payoff,GameOutcome,10.30.85.49,2019-01-24 19:14:32.543879+00:00,1,,,1307,5,"[{""strategy"":1,""time"":8.688}]",1,48,7,1,1,u5a83rs1,,,,,,0
6,3tzs1326,LAB5,0,46,45,payoff,GameOutcome,10.47.177.9,2019-01-24 19:14:33.744233+00:00,1,,,2107,6,"[{""strategy"":1,""time"":3.879},{""strategy"":2,""time"":7.695},{""strategy"":1,""time"":19.664}]",1,32,7,1,1,u5a83rs1,,,,,,0
7,yucx76nj,LAB8,0,46,45,payoff,GameOutcome,10.51.203.60,2019-01-24 19:14:29.560214+00:00,1,,,1806,7,"[{""strategy"":2,""time"":9.801}]",2,19,6,1,1,u5a83rs1,,,,,,0
8,a9caswms,LAB6,0,46,45,payoff,GameOutcome,10.145.91.102,2019-01-24 19:14:33.749936+00:00,1,,,1906,8,"[{""strategy"":2,""time"":5.917}]",2,51,6,1,1,u5a83rs1,,,,,,0
9,towf6ijh,LAB12,0,46,45,payoff,GameOutcome,10.147.13.174,2019-01-24 19:14:34.314022+00:00,1,,,1607,9,"[{""strategy"":2,""time"":2.922},{""strategy"":1,""time"":12.418}]",1,32,7,1,1,u5a83rs1,,,,,,0
10,v75dqmax,LAB13,0,46,45,payoff,GameOutcome,10.51.250.60,2019-01-24 19:14:32.576392+00:00,1,,,2007,10,"[{""strategy"":1,""time"":6.348},{""strategy"":2,""time"":33.245}]",1,13,7,1,1,u5a83rs1,,,,,,0
11,j7yvqfnk,LAB9,0,46,45,payoff,GameOutcome,10.33.189.124,2019-01-24 19:14:36.352740+00:00,1,,,2200,11,"[{""strategy"":2,""time"":17.005}]",0,9,0,1,1,u5a83rs1,,,,,,0
12,h3nu4vm6,LAB14,0,46,45,payoff,GameOutcome,10.16.198.175,2019-01-24 19:14:35.894569+00:00,1,,,1800,12,"[{""strategy"":1,""time"":6.183},{""strategy"":2,""time"":10.907},{""strategy"":1,""time"":11.923},{""strategy"":2,""time"":25.698},{""strategy"":1,""time"":26.923},{""strategy"":2,""time"":28.277},{""strategy"":1,""time"":32.411},{""strategy"":2,""time"":44.786},{""strategy"":1,""time"":46.557}]",0,5,0,1,1,u5a83rs1,,,,,,0
13,960qiq0v,LAB15,0,46,45,payoff,GameOutcome,10.149.119.251,2019-01-24 19:14:34.423000+00:00,1,,,1907,13,"[{""strategy"":1,""time"":0.753}]",1,56,7,1,1,u5a83rs1,,,,,,0
14,kv9veiwp,LAB7,0,46,45,payoff,GameOutcome,10.145.91.102,2019-01-24 19:14:37.755345+00:00,1,,,1606,14,"[{""strategy"":2,""time"":5.947},{""strategy"":1,""time"":17.628},{""strategy"":2,""time"":20.579}]",2,26,6,1,1,u5a83rs1,,,,,,0
15,40uoe7hc,LAB16,0,46,45,payoff,GameOutcome,10.47.229.186,2019-01-24 19:14:35.226242+00:00,1,,,1207,15,"[{""strategy"":1,""time"":3.34}]",1,22,7,1,1,u5a83rs1,,,,,,0
16,a7q3hufe,LAB17,0,46,45,payoff,GameOutcome,10.45.226.108,2019-01-24 19:14:38.945970+00:00,1,,,1306,16,"[{""strategy"":2,""time"":6.924}]",2,37,6,1,1,u5a83rs1,,,,,,0
17,fo0lbree,LAB18,0,46,45,payoff,GameOutcome,10.35.211.221,2019-01-24 19:14:39.482803+00:00,1,,,2806,17,"[{""strategy"":2,""time"":4.238}]",2,12,6,1,1,u5a83rs1,,,,,,0
18,veies0ax,LAB20,0,46,45,payoff,GameOutcome,10.29.86.227,2019-01-24 19:14:40.501945+00:00,1,,,1807,18,"[{""strategy"":2,""time"":3.863},{""strategy"":1,""time"":10.526}]",1,20,7,1,1,u5a83rs1,,,,,,0
19,6twian0l,LAB19,0,46,45,payoff,GameOutcome,10.123.135.185,2019-01-24 19:14:42.211719+00:00,1,,,606,19,"[{""strategy"":1,""time"":6.062},{""strategy"":2,""time"":15.144}]",2,42,6,1,1,u5a83rs1,,,,,,0
20,ezvwttsg,LAB21,0,46,45,payoff,GameOutcome,10.63.159.3,2019-01-24 19:14:45.073425+00:00,1,,,2006,20,"[{""strategy"":2,""time"":4.879}]",2,27,6,1,1,u5a83rs1,,,,,,0
21,wfotk6bs,LAB22,0,46,45,payoff,GameOutcome,10.65.212.112,2019-01-24 19:14:55.919089+00:00,1,,,2507,21,"[{""strategy"":1,""time"":7.016}]",1,28,7,1,1,u5a83rs1,,,,,,0
