participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":1,""time"":2.067},{""strategy"":2,""time"":14.804}]",2,23,0,1,2,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":0.83},{""strategy"":2,""time"":3.117},{""strategy"":1,""time"":7.046},{""strategy"":2,""time"":39.275},{""strategy"":1,""time"":51.315}]",2,41,0,1,2,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":1,""time"":0.539},{""strategy"":2,""time"":18.209},{""strategy"":1,""time"":27.294}]",1,2,100,1,2,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":1,""time"":1.73},{""strategy"":2,""time"":8.144}]",2,59,0,1,2,77cx1z62,,,,,,0
6,2em5km2n,LAB5,0,46,45,payoff,GameOutcome,10.37.242.200,2019-01-24 17:14:03.966166+00:00,1,,,1406,6,"[{""strategy"":1,""time"":1.793}]",1,39,0,1,2,77cx1z62,,,,,,0
7,ujwmue0z,LAB6,0,46,45,payoff,GameOutcome,10.63.255.156,2019-01-24 17:14:04.139967+00:00,1,,,1507,7,"[{""strategy"":1,""time"":1.12},{""strategy"":2,""time"":33.253}]",2,51,0,1,2,77cx1z62,,,,,,0
8,qilbatqv,LAB10,0,46,45,payoff,GameOutcome,10.142.105.142,2019-01-24 17:14:00.912688+00:00,1,,,1307,8,"[{""strategy"":2,""time"":15.444}]",2,32,0,1,2,77cx1z62,,,,,,0
9,5trhxuoe,LAB7,0,46,45,payoff,GameOutcome,10.69.187.197,2019-01-24 17:14:06.022313+00:00,1,,,1206,9,"[{""strategy"":1,""time"":2.02},{""strategy"":2,""time"":20.203},{""strategy"":1,""time"":28.546}]",1,48,0,1,2,77cx1z62,,,,,,0
10,o641l6k4,LAB9,0,46,45,payoff,GameOutcome,10.37.169.54,2019-01-24 17:14:07.534604+00:00,1,,,2506,10,"[{""strategy"":1,""time"":1.326},{""strategy"":2,""time"":5.509},{""strategy"":1,""time"":5.987},{""strategy"":2,""time"":6.613},{""strategy"":1,""time"":7.074},{""strategy"":2,""time"":7.626},{""strategy"":1,""time"":8.101},{""strategy"":2,""time"":8.561},{""strategy"":1,""time"":9.081},{""strategy"":2,""time"":9.518},{""strategy"":1,""time"":9.989},{""strategy"":2,""time"":10.461},{""strategy"":1,""time"":10.974},{""strategy"":2,""time"":32.59},{""strategy"":1,""time"":33.053},{""strategy"":2,""time"":34.942},{""strategy"":1,""time"":35.382}]",1,38,0,1,2,77cx1z62,,,,,,0
11,c0v4qan9,LAB12,0,46,45,payoff,GameOutcome,10.97.185.31,2019-01-24 17:14:09.733558+00:00,1,,,707,11,"[{""strategy"":1,""time"":1.176},{""strategy"":2,""time"":1.914},{""strategy"":1,""time"":19.244},{""strategy"":2,""time"":35.429},{""strategy"":1,""time"":40.01}]",2,37,0,1,2,77cx1z62,,,,,,0
12,81xnz4yu,LAB13,0,46,45,payoff,GameOutcome,10.140.162.50,2019-01-24 17:14:06.328172+00:00,1,,,1707,12,"[{""strategy"":1,""time"":3.165}]",1,10,0,1,2,77cx1z62,,,,,,0
13,k4tramti,LAB14,0,46,45,payoff,GameOutcome,10.79.217.135,2019-01-24 17:14:10.128381+00:00,1,,,1807,13,"[{""strategy"":2,""time"":9.16},{""strategy"":1,""time"":44.397},{""strategy"":2,""time"":52.66}]",2,29,0,1,2,77cx1z62,,,,,,0
14,p3a51zbr,LAB15,0,46,45,payoff,GameOutcome,10.63.212.72,2019-01-24 17:14:08.443959+00:00,1,,,3006,14,"[{""strategy"":1,""time"":0.746},{""strategy"":2,""time"":30.121},{""strategy"":1,""time"":35.449}]",1,50,0,1,2,77cx1z62,,,,,,0
15,1p1s5fq2,LAB16,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:14:09.629854+00:00,1,,,1506,15,"[{""strategy"":1,""time"":3.83},{""strategy"":2,""time"":26.006},{""strategy"":1,""time"":62.518}]",1,18,0,1,2,77cx1z62,,,,,,0
16,fg31zine,LAB11,0,46,45,payoff,GameOutcome,10.63.225.86,2019-01-24 17:14:31.465234+00:00,1,,,2707,16,"[{""strategy"":1,""time"":0.805}]",1,15,0,1,2,77cx1z62,,,,,,0
17,nadr9fib,LAB18,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 17:14:30.234360+00:00,1,,,1806,17,"[{""strategy"":1,""time"":2.087}]",1,49,100,1,2,77cx1z62,,,,,,0
18,4bhjmaks,LAB17,0,46,45,payoff,GameOutcome,10.16.214.130,2019-01-24 17:14:36.837958+00:00,1,,,2407,18,"[{""strategy"":1,""time"":1.418},{""strategy"":2,""time"":27.032}]",2,53,0,1,2,77cx1z62,,,,,,0
19,dyfhrnow,LAB19,0,46,45,payoff,GameOutcome,10.45.114.69,2019-01-24 17:14:47.570603+00:00,1,,,2307,19,"[{""strategy"":2,""time"":3.075},{""strategy"":1,""time"":41.827}]",2,26,500,1,2,77cx1z62,,,,,,0
